Sample	Day	Treatment	Taxa
T0.1	0	1	98
T0.1	1	1	85
T0.1	2	1	119
T0.1	3	1	112
T0.1	4	1	84
T0.1	5	1	53
T0.1	6	1	39
T0.1	7	1	117
T0.1	8	1	147
T0.1	9	1	143
T0.1	10	1	75
T0.1	11	1	67
T0.1	12	1	4
T0.1	13	1	41
T0.1	14	1	19
T0.1	15	1	112
T0.1	16	1	217
T0.1	17	1	90
T0.1	18	1	269
T0.1	19	1	25
T0.1	20	1	27
T0.1	21	1	120
T0.1	22	1	93
T0.1	23	1	256
T0.1	24	1	106
T0.1	25	1	226
T0.1	26	1	99
T0.1	27	1	174
T0.1	28	1	133
T0.1	29	1	259
T0.1	30	1	106
T0.1	31	1	176
T0.1	32	1	136
T0.1	33	1	95
T0.1	34	1	121
T0.1	35	1	239
T0.1	36	1	28
T0.1	37	1	160
T0.1	38	1	297
T0.1	39	1	188
T0.1	40	1	39
T0.1	41	1	160
T0.1	42	1	527
T0.1	43	1	303
T0.1	44	1	437
T0.1	45	1	48
T0.1	46	1	19
T0.1	47	1	154
T0.1	48	1	430
T0.1	49	1	94
T0.1	50	1	199
T0.1	51	1	225
T0.1	52	1	405
T0.1	53	1	375
T0.1	54	1	600
T0.1	55	1	429
T0.1	56	1	632
T0.1	57	1	515
T0.1	58	1	576
T0.1	59	1	359
T0.1	60	1	257
T0.1	61	1	524
T0.1	62	1	465
T0.1	63	1	169
T0.1	64	1	381
T0.1	65	1	437
T0.1	66	1	34
T0.1	67	1	232
T0.1	68	1	95
T0.1	69	1	90
T0.1	70	1	525
T0.1	71	1	181
T0.1	72	1	480
T0.1	73	1	295
T0.1	74	1	143
T0.1	75	1	513
T0.1	76	1	18
T0.1	77	1	647
T0.1	78	1	303
T0.1	79	1	500
T0.1	80	1	530
T0.1	81	1	566
T0.1	82	1	14
T0.1	83	1	714
T0.1	84	1	30
T0.1	85	1	291
T0.1	86	1	60
T0.1	87	1	309
T0.1	88	1	236
T0.1	89	1	682
T0.1	90	1	877
T0.1	91	1	698
T0.1	92	1	478
T0.1	93	1	251
T0.1	94	1	163
T0.1	95	1	705
T0.1	96	1	420
T0.1	97	1	595
T0.1	98	1	413
T0.1	99	1	214
T1.1	0	1	98
T1.1	1	1	85
T1.1	2	1	119
T1.1	3	1	112
T1.1	4	1	84
T1.1	5	1	53
T1.1	6	1	39
T1.1	7	1	117
T1.1	8	1	147
T1.1	9	1	143
T1.1	10	1	75
T1.1	11	1	67
T1.1	12	1	4
T1.1	13	1	41
T1.1	14	1	19
T1.1	15	1	112
T1.1	16	1	217
T1.1	17	1	90
T1.1	18	1	269
T1.1	19	1	25
T1.1	20	1	27
T1.1	21	1	120
T1.1	22	1	93
T1.1	23	1	256
T1.1	24	1	106
T1.1	25	1	226
T1.1	26	1	99
T1.1	27	1	174
T1.1	28	1	133
T1.1	29	1	259
T1.1	30	1	106
T1.1	31	1	176
T1.1	32	1	136
T1.1	33	1	95
T1.1	34	1	121
T1.1	35	1	239
T1.1	36	1	28
T1.1	37	1	160
T1.1	38	1	297
T1.1	39	1	188
T1.1	40	1	39
T1.1	41	1	160
T1.1	42	1	527
T1.1	43	1	303
T1.1	44	1	437
T1.1	45	1	48
T1.1	46	1	19
T1.1	47	1	154
T1.1	48	1	430
T1.1	49	1	94
T1.1	50	1	199
T1.1	51	1	225
T1.1	52	1	405
T1.1	53	1	375
T1.1	54	1	600
T1.1	55	1	429
T1.1	56	1	632
T1.1	57	1	515
T1.1	58	1	576
T1.1	59	1	359
T1.1	60	1	257
T1.1	61	1	524
T1.1	62	1	465
T1.1	63	1	169
T1.1	64	1	381
T1.1	65	1	437
T1.1	66	1	34
T1.1	67	1	232
T1.1	68	1	95
T1.1	69	1	90
T1.1	70	1	525
T1.1	71	1	181
T1.1	72	1	480
T1.1	73	1	295
T1.1	74	1	143
T1.1	75	1	513
T1.1	76	1	18
T1.1	77	1	647
T1.1	78	1	303
T1.1	79	1	500
T1.1	80	1	530
T1.1	81	1	566
T1.1	82	1	14
T1.1	83	1	714
T1.1	84	1	30
T1.1	85	1	291
T1.1	86	1	60
T1.1	87	1	309
T1.1	88	1	236
T1.1	89	1	682
T1.1	90	1	877
T1.1	91	1	698
T1.1	92	1	478
T1.1	93	1	251
T1.1	94	1	163
T1.1	95	1	705
T1.1	96	1	420
T1.1	97	1	595
T1.1	98	1	413
T1.1	99	1	214
T2.2	0	2	1
T2.2	1	2	1
T2.2	2	2	1
T2.2	3	2	1
T2.2	4	2	1
T2.2	5	2	1
T2.2	6	2	1
T2.2	7	2	1
T2.2	8	2	1
T2.2	9	2	1
T2.2	10	2	1
T2.2	11	2	1
T2.2	12	2	1
T2.2	13	2	1
T2.2	14	2	1
T2.2	15	2	1
T2.2	16	2	1
T2.2	17	2	1
T2.2	18	2	1
T2.2	19	2	1
T2.2	20	2	1
T2.2	21	2	1
T2.2	22	2	1
T2.2	23	2	1
T2.2	24	2	1
T2.2	25	2	1
T2.2	26	2	1
T2.2	27	2	1
T2.2	28	2	1
T2.2	29	2	1
T2.2	30	2	1
T2.2	31	2	1
T2.2	32	2	1
T2.2	33	2	1
T2.2	34	2	1
T2.2	35	2	1
T2.2	36	2	1
T2.2	37	2	1
T2.2	38	2	1
T2.2	39	2	1
T2.2	40	2	1
T2.2	41	2	1
T2.2	42	2	1
T2.2	43	2	1
T2.2	44	2	1
T2.2	45	2	1
T2.2	46	2	1
T2.2	47	2	1
T2.2	48	2	1
T2.2	49	2	1
T2.2	50	2	1
T2.2	51	2	1
T2.2	52	2	1
T2.2	53	2	1
T2.2	54	2	1
T2.2	55	2	1
T2.2	56	2	1
T2.2	57	2	1
T2.2	58	2	1
T2.2	59	2	1
T2.2	60	2	1
T2.2	61	2	1
T2.2	62	2	1
T2.2	63	2	1
T2.2	64	2	1
T2.2	65	2	1
T2.2	66	2	1
T2.2	67	2	1
T2.2	68	2	1
T2.2	69	2	1
T2.2	70	2	1
T2.2	71	2	1
T2.2	72	2	1
T2.2	73	2	1
T2.2	74	2	1
T2.2	75	2	1
T2.2	76	2	1
T2.2	77	2	1
T2.2	78	2	1
T2.2	79	2	1
T2.2	80	2	1
T2.2	81	2	1
T2.2	82	2	1
T2.2	83	2	1
T2.2	84	2	1
T2.2	85	2	1
T2.2	86	2	1
T2.2	87	2	1
T2.2	88	2	1
T2.2	89	2	1
T2.2	90	2	1
T2.2	91	2	1
T2.2	92	2	1
T2.2	93	2	1
T2.2	94	2	1
T2.2	95	2	1
T2.2	96	2	1
T2.2	97	2	1
T2.2	98	2	1
T2.2	99	2	1
T3.2	0	2	1
T3.2	1	2	1
T3.2	2	2	1
T3.2	3	2	1
T3.2	4	2	1
T3.2	5	2	1
T3.2	6	2	1
T3.2	7	2	1
T3.2	8	2	1
T3.2	9	2	1
T3.2	10	2	1
T3.2	11	2	1
T3.2	12	2	1
T3.2	13	2	1
T3.2	14	2	1
T3.2	15	2	1
T3.2	16	2	1
T3.2	17	2	1
T3.2	18	2	1
T3.2	19	2	1
T3.2	20	2	1
T3.2	21	2	1
T3.2	22	2	1
T3.2	23	2	1
T3.2	24	2	1
T3.2	25	2	1
T3.2	26	2	1
T3.2	27	2	1
T3.2	28	2	1
T3.2	29	2	1
T3.2	30	2	1
T3.2	31	2	1
T3.2	32	2	1
T3.2	33	2	1
T3.2	34	2	1
T3.2	35	2	1
T3.2	36	2	1
T3.2	37	2	1
T3.2	38	2	1
T3.2	39	2	1
T3.2	40	2	1
T3.2	41	2	1
T3.2	42	2	1
T3.2	43	2	1
T3.2	44	2	1
T3.2	45	2	1
T3.2	46	2	1
T3.2	47	2	1
T3.2	48	2	1
T3.2	49	2	1
T3.2	50	2	1
T3.2	51	2	1
T3.2	52	2	1
T3.2	53	2	1
T3.2	54	2	1
T3.2	55	2	1
T3.2	56	2	1
T3.2	57	2	1
T3.2	58	2	1
T3.2	59	2	1
T3.2	60	2	1
T3.2	61	2	1
T3.2	62	2	1
T3.2	63	2	1
T3.2	64	2	1
T3.2	65	2	1
T3.2	66	2	1
T3.2	67	2	1
T3.2	68	2	1
T3.2	69	2	1
T3.2	70	2	1
T3.2	71	2	1
T3.2	72	2	1
T3.2	73	2	1
T3.2	74	2	1
T3.2	75	2	1
T3.2	76	2	1
T3.2	77	2	1
T3.2	78	2	1
T3.2	79	2	1
T3.2	80	2	1
T3.2	81	2	1
T3.2	82	2	1
T3.2	83	2	1
T3.2	84	2	1
T3.2	85	2	1
T3.2	86	2	1
T3.2	87	2	1
T3.2	88	2	1
T3.2	89	2	1
T3.2	90	2	1
T3.2	91	2	1
T3.2	92	2	1
T3.2	93	2	1
T3.2	94	2	1
T3.2	95	2	1
T3.2	96	2	1
T3.2	97	2	1
T3.2	98	2	1
T3.2	99	2	1
